#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 253000      1.02e+00    1.12e+00      1.11e-03    1.24e-03      1.16e-01    1.26e-01    7.7e-05
 254000      9.24e-01    9.41e-01      6.18e-04    7.79e-04      1.05e-01    1.07e-01    7.7e-05
 255000      1.01e+00    9.61e-01      4.13e-04    7.00e-04      1.18e-01    1.12e-01    7.3e-05
 256000      1.06e+00    1.08e+00      1.05e-03    2.77e-04      1.23e-01    1.26e-01    7.3e-05
 257000      6.57e-01    9.38e-01      1.07e-03    1.01e-03      7.63e-02    1.09e-01    7.3e-05
 258000      1.11e+00    8.44e-01      9.15e-04    8.70e-04      1.29e-01    9.81e-02    7.3e-05
 259000      1.10e+00    9.04e-01      3.93e-04    6.59e-04      1.28e-01    1.05e-01    7.3e-05
 260000      1.05e+00    1.01e+00      9.08e-04    8.08e-04      1.25e-01    1.20e-01    6.9e-05
 261000      8.58e-01    1.27e+00      1.25e-03    9.93e-04      1.02e-01    1.51e-01    6.9e-05
 262000      1.05e+00    1.03e+00      9.38e-04    9.21e-04      1.25e-01    1.22e-01    6.9e-05
 263000      9.89e-01    1.02e+00      6.57e-04    5.15e-04      1.18e-01    1.21e-01    6.9e-05
 264000      9.90e-01    1.01e+00      1.06e-03    8.65e-04      1.18e-01    1.20e-01    6.9e-05
 265000      1.04e+00    9.51e-01      9.03e-04    9.60e-04      1.27e-01    1.16e-01    6.6e-05
 266000      9.02e-01    1.01e+00      8.13e-04    6.03e-04      1.10e-01    1.23e-01    6.6e-05
 267000      9.70e-01    9.26e-01      8.84e-04    4.85e-04      1.19e-01    1.13e-01    6.6e-05
 268000      9.21e-01    9.21e-01      6.87e-04    6.66e-04      1.13e-01    1.13e-01    6.6e-05
 269000      8.10e-01    7.89e-01      1.14e-03    5.92e-04      9.90e-02    9.65e-02    6.6e-05
 270000      7.99e-01    8.08e-01      6.52e-04    6.43e-04      1.00e-01    1.01e-01    6.3e-05
 271000      8.75e-01    8.29e-01      4.60e-04    6.53e-04      1.10e-01    1.04e-01    6.3e-05
 272000      1.06e+00    7.38e-01      6.26e-04    5.94e-04      1.33e-01    9.25e-02    6.3e-05
 273000      1.02e+00    7.06e-01      1.44e-03    1.67e-03      1.28e-01    8.85e-02    6.3e-05
 274000      9.76e-01    7.32e-01      6.98e-04    6.54e-04      1.22e-01    9.18e-02    6.3e-05
 275000      8.83e-01    1.06e+00      1.09e-03    1.06e-03      1.13e-01    1.37e-01    6.0e-05
 276000      8.20e-01    6.78e-01      4.37e-04    6.21e-04      1.05e-01    8.72e-02    6.0e-05
 277000      9.46e-01    6.47e-01      8.41e-04    7.26e-04      1.22e-01    8.32e-02    6.0e-05
 278000      9.69e-01    8.63e-01      5.49e-04    6.75e-04      1.25e-01    1.11e-01    6.0e-05
 279000      1.06e+00    9.53e-01      1.10e-03    6.46e-04      1.36e-01    1.23e-01    6.0e-05
 280000      7.94e-01    7.27e-01      1.08e-03    6.24e-04      1.05e-01    9.58e-02    5.7e-05
 281000      8.61e-01    1.06e+00      9.12e-04    5.69e-04      1.14e-01    1.40e-01    5.7e-05
 282000      9.88e-01    7.05e-01      4.20e-04    7.11e-04      1.30e-01    9.30e-02    5.7e-05
 283000      8.92e-01    6.76e-01      7.05e-04    9.70e-04      1.18e-01    8.92e-02    5.7e-05
 284000      8.20e-01    7.51e-01      7.61e-04    6.61e-04      1.08e-01    9.90e-02    5.7e-05
 285000      9.08e-01    7.11e-01      1.19e-03    9.22e-04      1.23e-01    9.62e-02    5.4e-05
 286000      8.72e-01    7.13e-01      9.02e-04    1.74e-03      1.18e-01    9.64e-02    5.4e-05
 287000      9.97e-01    9.25e-01      5.71e-04    6.64e-04      1.35e-01    1.25e-01    5.4e-05
 288000      7.14e-01    9.21e-01      6.54e-04    6.58e-04      9.65e-02    1.25e-01    5.4e-05
 289000      8.13e-01    9.77e-01      1.03e-03    7.78e-04      1.10e-01    1.32e-01    5.4e-05
 290000      8.23e-01    7.97e-01      8.36e-04    6.92e-04      1.14e-01    1.11e-01    5.1e-05
 291000      8.67e-01    9.19e-01      6.83e-04    7.02e-04      1.20e-01    1.27e-01    5.1e-05
 292000      8.15e-01    7.99e-01      1.03e-03    8.07e-04      1.13e-01    1.11e-01    5.1e-05
 293000      7.45e-01    8.64e-01      8.43e-04    7.10e-04      1.03e-01    1.20e-01    5.1e-05
 294000      9.97e-01    6.28e-01      4.28e-04    6.44e-04      1.38e-01    8.71e-02    5.1e-05
 295000      8.14e-01    8.54e-01      6.51e-04    5.53e-04      1.16e-01    1.21e-01    4.9e-05
 296000      8.93e-01    8.37e-01      9.69e-04    6.51e-04      1.27e-01    1.19e-01    4.9e-05
 297000      8.92e-01    6.27e-01      6.91e-04    5.90e-04      1.27e-01    8.92e-02    4.9e-05
 298000      9.93e-01    1.07e+00      6.54e-04    5.41e-04      1.41e-01    1.52e-01    4.9e-05
 299000      7.25e-01    8.29e-01      5.42e-04    7.35e-04      1.03e-01    1.18e-01    4.9e-05
 300000      9.59e-01    7.75e-01      1.13e-03    8.23e-04      1.40e-01    1.13e-01    4.6e-05
 301000      8.08e-01    6.75e-01      3.27e-04    4.70e-04      1.18e-01    9.84e-02    4.6e-05
 302000      7.69e-01    5.47e-01      7.91e-04    9.18e-04      1.12e-01    7.97e-02    4.6e-05
 303000      6.46e-01    7.93e-01      9.53e-04    1.04e-03      9.42e-02    1.16e-01    4.6e-05
 304000      7.16e-01    7.34e-01      8.46e-04    4.49e-04      1.04e-01    1.07e-01    4.6e-05
 305000      7.09e-01    8.87e-01      6.28e-04    9.00e-04      1.06e-01    1.33e-01    4.4e-05
 306000      7.43e-01    7.58e-01      5.59e-04    6.12e-04      1.11e-01    1.13e-01    4.4e-05
 307000      6.91e-01    8.85e-01      7.21e-04    6.72e-04      1.03e-01    1.32e-01    4.4e-05
 308000      8.70e-01    6.59e-01      1.07e-03    1.31e-03      1.30e-01    9.86e-02    4.4e-05
 309000      8.76e-01    8.42e-01      9.90e-04    6.13e-04      1.31e-01    1.26e-01    4.4e-05
 310000      6.21e-01    7.36e-01      4.54e-04    8.54e-04      9.51e-02    1.13e-01    4.2e-05
#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 310000      9.73e-01    6.17e-01      9.38e-04    7.12e-04      1.49e-01    9.46e-02    4.2e-05
 311000      6.94e-01    7.45e-01      8.36e-04    8.81e-04      1.06e-01    1.14e-01    4.2e-05
 312000      8.01e-01    6.68e-01      4.61e-04    6.31e-04      1.23e-01    1.02e-01    4.2e-05
 313000      7.29e-01    8.96e-01      9.61e-04    7.43e-04      1.12e-01    1.37e-01    4.2e-05
 314000      7.49e-01    8.29e-01      9.52e-04    9.61e-04      1.15e-01    1.27e-01    4.2e-05
 315000      6.15e-01    7.78e-01      6.15e-04    4.36e-04      9.67e-02    1.22e-01    4.0e-05
 316000      8.72e-01    6.74e-01      6.00e-04    5.24e-04      1.37e-01    1.06e-01    4.0e-05
 317000      5.88e-01    7.49e-01      6.00e-04    5.18e-04      9.25e-02    1.18e-01    4.0e-05
 318000      8.12e-01    6.28e-01      1.51e-03    1.14e-03      1.28e-01    9.87e-02    4.0e-05
 319000      8.25e-01    5.62e-01      6.23e-04    3.54e-04      1.30e-01    8.84e-02    4.0e-05
 320000      5.65e-01    7.90e-01      1.08e-03    7.56e-04      9.10e-02    1.27e-01    3.8e-05
 321000      7.58e-01    4.74e-01      1.01e-03    9.55e-04      1.22e-01    7.64e-02    3.8e-05
 322000      7.47e-01    8.70e-01      9.33e-04    4.17e-04      1.20e-01    1.40e-01    3.8e-05
 323000      8.58e-01    6.40e-01      9.33e-04    9.58e-04      1.38e-01    1.03e-01    3.8e-05
 324000      8.30e-01    7.12e-01      1.39e-03    6.50e-04      1.34e-01    1.15e-01    3.8e-05
 325000      6.79e-01    8.03e-01      7.96e-04    4.70e-04      1.12e-01    1.33e-01    3.6e-05
 326000      6.56e-01    8.04e-01      8.39e-04    6.65e-04      1.08e-01    1.33e-01    3.6e-05
 327000      6.57e-01    7.50e-01      1.01e-03    6.47e-04      1.09e-01    1.24e-01    3.6e-05
 328000      7.36e-01    5.95e-01      7.68e-04    6.11e-04      1.22e-01    9.84e-02    3.6e-05
 329000      7.95e-01    5.70e-01      6.29e-04    9.17e-04      1.31e-01    9.43e-02    3.6e-05
 330000      6.02e-01    5.98e-01      8.20e-04    8.08e-04      1.02e-01    1.01e-01    3.4e-05
 331000      7.16e-01    8.24e-01      5.22e-04    8.97e-04      1.21e-01    1.40e-01    3.4e-05
 332000      7.79e-01    6.01e-01      1.10e-03    7.03e-04      1.32e-01    1.02e-01    3.4e-05
 333000      7.60e-01    6.64e-01      5.27e-04    5.02e-04      1.29e-01    1.12e-01    3.4e-05
 334000      6.35e-01    6.15e-01      5.77e-04    7.72e-04      1.08e-01    1.04e-01    3.4e-05
 335000      7.67e-01    4.08e-01      8.18e-04    8.01e-04      1.33e-01    7.08e-02    3.2e-05
 336000      7.29e-01    8.14e-01      9.28e-04    9.88e-04      1.27e-01    1.41e-01    3.2e-05
 337000      7.68e-01    7.30e-01      4.82e-04    3.74e-04      1.33e-01    1.27e-01    3.2e-05
 338000      5.14e-01    4.58e-01      5.42e-04    6.96e-04      8.93e-02    7.96e-02    3.2e-05
 339000      6.63e-01    5.69e-01      1.09e-03    5.24e-04      1.15e-01    9.88e-02    3.2e-05
 340000      7.26e-01    6.08e-01      1.06e-03    1.05e-03      1.29e-01    1.08e-01    3.1e-05
 341000      6.47e-01    6.39e-01      5.38e-04    7.49e-04      1.15e-01    1.14e-01    3.1e-05
 342000      6.71e-01    6.25e-01      6.39e-04    6.07e-04      1.19e-01    1.11e-01    3.1e-05
 343000      7.08e-01    6.54e-01      1.14e-03    1.16e-03      1.26e-01    1.16e-01    3.1e-05
 344000      6.80e-01    5.58e-01      7.16e-04    5.39e-04      1.21e-01    9.93e-02    3.1e-05
 345000      5.06e-01    4.74e-01      7.32e-04    6.20e-04      9.23e-02    8.66e-02    2.9e-05
 346000      6.72e-01    6.15e-01      1.10e-03    3.55e-04      1.23e-01    1.12e-01    2.9e-05
 347000      6.83e-01    7.43e-01      4.61e-04    6.25e-04      1.25e-01    1.36e-01    2.9e-05
 348000      5.81e-01    7.08e-01      5.14e-04    5.30e-04      1.06e-01    1.29e-01    2.9e-05
 349000      6.44e-01    6.79e-01      8.39e-04    7.26e-04      1.18e-01    1.24e-01    2.9e-05
 350000      5.20e-01    4.41e-01      6.06e-04    8.63e-04      9.73e-02    8.26e-02    2.8e-05
 351000      5.23e-01    5.62e-01      7.57e-04    3.11e-04      9.78e-02    1.05e-01    2.8e-05
 352000      7.18e-01    6.07e-01      7.34e-04    7.87e-04      1.34e-01    1.14e-01    2.8e-05
 353000      6.79e-01    7.43e-01      7.12e-04    6.13e-04      1.27e-01    1.39e-01    2.8e-05
 354000      6.60e-01    6.89e-01      1.03e-03    8.06e-04      1.24e-01    1.29e-01    2.8e-05
 355000      5.66e-01    5.63e-01      7.84e-04    4.16e-04      1.09e-01    1.08e-01    2.6e-05
 356000      5.10e-01    5.40e-01      8.38e-04    5.68e-04      9.78e-02    1.04e-01    2.6e-05
 357000      7.55e-01    5.59e-01      7.06e-04    8.12e-04      1.45e-01    1.07e-01    2.6e-05
 358000      6.24e-01    6.24e-01      8.04e-04    4.82e-04      1.20e-01    1.20e-01    2.6e-05
 359000      6.34e-01    6.41e-01      6.10e-04    4.49e-04      1.22e-01    1.23e-01    2.6e-05
 360000      6.07e-01    5.46e-01      8.56e-04    6.63e-04      1.19e-01    1.07e-01    2.5e-05
 361000      6.90e-01    6.19e-01      3.85e-04    3.94e-04      1.36e-01    1.22e-01    2.5e-05
 362000      6.75e-01    4.39e-01      1.36e-03    5.51e-04      1.33e-01    8.63e-02    2.5e-05
 363000      5.53e-01    6.12e-01      6.64e-04    6.33e-04      1.09e-01    1.20e-01    2.5e-05
 364000      5.09e-01    5.45e-01      6.52e-04    5.10e-04      1.00e-01    1.07e-01    2.5e-05
 365000      7.27e-01    5.21e-01      8.90e-04    9.43e-04      1.46e-01    1.05e-01    2.4e-05
 366000      5.17e-01    5.38e-01      5.80e-04    4.87e-04      1.04e-01    1.08e-01    2.4e-05
 367000      6.54e-01    6.85e-01      3.70e-04    4.70e-04      1.32e-01    1.38e-01    2.4e-05
 368000      5.48e-01    5.75e-01      6.97e-04    4.43e-04      1.10e-01    1.16e-01    2.4e-05
 369000      5.91e-01    5.64e-01      8.94e-04    4.49e-04      1.19e-01    1.14e-01    2.4e-05
 370000      6.10e-01    5.85e-01      7.07e-04    6.37e-04      1.26e-01    1.21e-01    2.2e-05
 371000      6.12e-01    5.59e-01      7.72e-04    6.39e-04      1.26e-01    1.15e-01    2.2e-05
 372000      4.70e-01    6.14e-01      1.02e-03    1.03e-03      9.71e-02    1.27e-01    2.2e-05
 373000      5.03e-01    4.25e-01      7.30e-04    6.82e-04      1.04e-01    8.78e-02    2.2e-05
 374000      5.75e-01    4.86e-01      5.57e-04    6.00e-04      1.19e-01    1.00e-01    2.2e-05
 375000      4.54e-01    5.88e-01      8.49e-04    5.44e-04      9.60e-02    1.24e-01    2.1e-05
 376000      5.12e-01    5.51e-01      1.00e-03    3.36e-04      1.08e-01    1.17e-01    2.1e-05
 377000      5.43e-01    4.89e-01      3.79e-04    6.55e-04      1.15e-01    1.04e-01    2.1e-05
 378000      5.15e-01    5.23e-01      5.56e-04    5.47e-04      1.09e-01    1.11e-01    2.1e-05
 379000      6.44e-01    4.55e-01      8.17e-04    5.70e-04      1.36e-01    9.62e-02    2.1e-05
 380000      4.57e-01    4.46e-01      7.40e-04    8.55e-04      9.91e-02    9.68e-02    2.0e-05
 381000      5.95e-01    5.31e-01      6.40e-04    3.93e-04      1.29e-01    1.15e-01    2.0e-05
 382000      5.11e-01    2.72e-01      5.12e-04    6.87e-04      1.11e-01    5.90e-02    2.0e-05
 383000      6.13e-01    4.05e-01      7.80e-04    4.87e-04      1.33e-01    8.77e-02    2.0e-05
 384000      5.44e-01    5.17e-01      1.02e-03    5.83e-04      1.18e-01    1.12e-01    2.0e-05
 385000      6.66e-01    3.49e-01      7.52e-04    7.37e-04      1.48e-01    7.75e-02    1.9e-05
 386000      4.54e-01    6.36e-01      1.09e-03    4.91e-04      1.01e-01    1.41e-01    1.9e-05
 387000      4.33e-01    4.71e-01      6.49e-04    3.79e-04      9.62e-02    1.05e-01    1.9e-05
 388000      6.26e-01    5.77e-01      2.79e-04    6.52e-04      1.39e-01    1.28e-01    1.9e-05
 389000      4.76e-01    5.90e-01      4.95e-04    8.75e-04      1.06e-01    1.31e-01    1.9e-05
 390000      5.89e-01    5.81e-01      7.10e-04    8.41e-04      1.34e-01    1.32e-01    1.8e-05
 391000      4.84e-01    5.80e-01      6.35e-04    6.07e-04      1.10e-01    1.32e-01    1.8e-05
 392000      5.27e-01    5.04e-01      1.08e-03    8.12e-04      1.20e-01    1.15e-01    1.8e-05
 393000      4.95e-01    4.29e-01      7.29e-04    7.53e-04      1.13e-01    9.77e-02    1.8e-05
 394000      5.31e-01    5.07e-01      6.95e-04    4.88e-04      1.21e-01    1.15e-01    1.8e-05
 395000      5.52e-01    5.43e-01      1.05e-03    7.65e-04      1.29e-01    1.27e-01    1.7e-05
 396000      6.02e-01    3.48e-01      2.88e-04    4.96e-04      1.41e-01    8.11e-02    1.7e-05
 397000      3.89e-01    5.28e-01      6.86e-04    4.36e-04      9.06e-02    1.23e-01    1.7e-05
 398000      4.95e-01    5.10e-01      7.52e-04    5.76e-04      1.16e-01    1.19e-01    1.7e-05
 399000      5.08e-01    5.72e-01      6.14e-04    1.14e-03      1.18e-01    1.33e-01    1.7e-05
 400000      5.77e-01    4.47e-01      5.29e-04    5.76e-04      1.38e-01    1.07e-01    1.7e-05
 401000      4.09e-01    3.53e-01      7.34e-04    4.01e-04      9.78e-02    8.43e-02    1.7e-05
 402000      5.03e-01    5.14e-01      1.03e-03    8.85e-04      1.20e-01    1.23e-01    1.7e-05
 403000      4.35e-01    4.30e-01      5.56e-04    4.57e-04      1.04e-01    1.03e-01    1.7e-05
 404000      4.57e-01    3.49e-01      8.96e-04    5.51e-04      1.09e-01    8.34e-02    1.7e-05
 405000      4.16e-01    3.23e-01      8.38e-04    8.09e-04      1.02e-01    7.90e-02    1.6e-05
 406000      5.54e-01    4.17e-01      1.04e-03    6.33e-04      1.36e-01    1.02e-01    1.6e-05
 407000      4.49e-01    4.38e-01      7.67e-04    5.79e-04      1.10e-01    1.07e-01    1.6e-05
 408000      4.19e-01    3.54e-01      4.58e-04    7.11e-04      1.02e-01    8.68e-02    1.6e-05
 409000      4.79e-01    5.15e-01      6.49e-04    4.38e-04      1.17e-01    1.26e-01    1.6e-05
 410000      4.77e-01    2.73e-01      6.39e-04    7.74e-04      1.20e-01    6.86e-02    1.5e-05
 411000      4.20e-01    4.50e-01      7.16e-04    6.87e-04      1.05e-01    1.13e-01    1.5e-05
 412000      4.15e-01    4.38e-01      6.74e-04    7.28e-04      1.04e-01    1.10e-01    1.5e-05
 413000      5.90e-01    4.34e-01      1.07e-03    5.28e-04      1.48e-01    1.09e-01    1.5e-05
 414000      4.91e-01    4.86e-01      5.39e-04    5.91e-04      1.23e-01    1.22e-01    1.5e-05
 415000      4.60e-01    4.74e-01      8.94e-04    5.81e-04      1.18e-01    1.22e-01    1.4e-05
 416000      4.72e-01    3.25e-01      5.12e-04    5.76e-04      1.21e-01    8.34e-02    1.4e-05
 417000      4.45e-01    4.57e-01      9.98e-04    6.49e-04      1.14e-01    1.17e-01    1.4e-05
 418000      4.48e-01    3.85e-01      5.04e-04    4.61e-04      1.15e-01    9.90e-02    1.4e-05
 419000      4.07e-01    3.37e-01      4.63e-04    5.69e-04      1.05e-01    8.64e-02    1.4e-05
 420000      4.35e-01    4.68e-01      1.06e-03    5.67e-04      1.14e-01    1.23e-01    1.3e-05
 421000      4.35e-01    4.18e-01      5.00e-04    6.22e-04      1.14e-01    1.10e-01    1.3e-05
 422000      4.76e-01    3.84e-01      8.59e-04    5.07e-04      1.25e-01    1.01e-01    1.3e-05
 423000      4.37e-01    4.73e-01      5.80e-04    8.52e-04      1.15e-01    1.24e-01    1.3e-05
 424000      4.11e-01    3.07e-01      8.62e-04    4.95e-04      1.08e-01    8.07e-02    1.3e-05
 425000      4.87e-01    4.38e-01      7.75e-04    5.36e-04      1.31e-01    1.18e-01    1.3e-05
 426000      4.64e-01    3.37e-01      3.29e-04    5.32e-04      1.25e-01    9.07e-02    1.3e-05
 427000      4.56e-01    4.59e-01      1.05e-03    5.66e-04      1.23e-01    1.24e-01    1.3e-05
 428000      3.84e-01    4.37e-01      4.99e-04    5.96e-04      1.03e-01    1.18e-01    1.3e-05
 429000      3.94e-01    4.05e-01      8.90e-04    5.46e-04      1.06e-01    1.09e-01    1.3e-05
 430000      3.28e-01    5.62e-01      7.25e-04    5.42e-04      9.04e-02    1.55e-01    1.2e-05
 431000      4.87e-01    5.53e-01      4.97e-04    6.20e-04      1.34e-01    1.53e-01    1.2e-05
 432000      4.03e-01    3.70e-01      5.99e-04    5.86e-04      1.11e-01    1.02e-01    1.2e-05
 433000      4.51e-01    2.82e-01      6.06e-04    4.80e-04      1.24e-01    7.78e-02    1.2e-05
 434000      4.51e-01    4.46e-01      8.00e-04    4.06e-04      1.24e-01    1.23e-01    1.2e-05
 435000      4.57e-01    4.16e-01      4.52e-04    7.07e-04      1.29e-01    1.17e-01    1.2e-05
 436000      4.18e-01    3.86e-01      8.42e-04    6.69e-04      1.18e-01    1.09e-01    1.2e-05
 437000      3.15e-01    4.80e-01      5.14e-04    6.31e-04      8.89e-02    1.36e-01    1.2e-05
 438000      4.61e-01    2.80e-01      8.89e-04    7.25e-04      1.30e-01    7.90e-02    1.2e-05
 439000      4.06e-01    3.50e-01      8.97e-04    8.90e-04      1.15e-01    9.89e-02    1.2e-05
 440000      3.25e-01    3.55e-01      4.32e-04    7.26e-04      9.41e-02    1.03e-01    1.1e-05
 441000      3.33e-01    4.54e-01      6.18e-04    5.00e-04      9.65e-02    1.31e-01    1.1e-05
 442000      4.45e-01    3.66e-01      7.35e-04    6.52e-04      1.29e-01    1.06e-01    1.1e-05
 443000      4.12e-01    3.59e-01      6.79e-04    5.14e-04      1.19e-01    1.04e-01    1.1e-05
 444000      4.26e-01    3.99e-01      7.50e-04    7.13e-04      1.23e-01    1.15e-01    1.1e-05
 445000      3.67e-01    4.94e-01      4.33e-04    5.46e-04      1.09e-01    1.46e-01    1.0e-05
 446000      3.16e-01    4.02e-01      7.61e-04    3.50e-04      9.36e-02    1.19e-01    1.0e-05
 447000      4.00e-01    4.29e-01      8.43e-04    6.15e-04      1.18e-01    1.27e-01    1.0e-05
 448000      4.55e-01    3.71e-01      6.43e-04    5.77e-04      1.35e-01    1.10e-01    1.0e-05
 449000      3.87e-01    2.87e-01      7.85e-04    4.55e-04      1.15e-01    8.50e-02    1.0e-05
 450000      3.34e-01    3.99e-01      6.67e-04    4.29e-04      1.01e-01    1.21e-01    9.9e-06
 451000      3.98e-01    4.43e-01      9.20e-04    4.07e-04      1.21e-01    1.34e-01    9.9e-06
 452000      4.40e-01    3.69e-01      8.52e-04    4.84e-04      1.33e-01    1.12e-01    9.9e-06
 453000      3.49e-01    3.44e-01      5.52e-04    5.47e-04      1.06e-01    1.04e-01    9.9e-06
 454000      4.26e-01    4.28e-01      3.79e-04    6.05e-04      1.29e-01    1.30e-01    9.9e-06
 455000      4.09e-01    3.20e-01      5.36e-04    7.94e-04      1.27e-01    9.93e-02    9.4e-06
 456000      3.50e-01    2.40e-01      5.00e-04    2.49e-04      1.09e-01    7.45e-02    9.4e-06
 457000      3.06e-01    4.22e-01      8.96e-04    6.88e-04      9.49e-02    1.31e-01    9.4e-06
 458000      4.41e-01    4.49e-01      8.12e-04    5.05e-04      1.37e-01    1.39e-01    9.4e-06
 459000      3.57e-01    2.94e-01      6.68e-04    8.36e-04      1.11e-01    9.13e-02    9.4e-06
 460000      4.31e-01    4.61e-01      8.24e-04    7.58e-04      1.37e-01    1.46e-01    8.9e-06
 461000      3.88e-01    3.48e-01      1.03e-03    5.92e-04      1.23e-01    1.11e-01    8.9e-06
 462000      3.80e-01    3.05e-01      4.53e-04    5.67e-04      1.21e-01    9.67e-02    8.9e-06
 463000      3.56e-01    3.84e-01      5.54e-04    5.44e-04      1.13e-01    1.22e-01    8.9e-06
 464000      2.95e-01    3.76e-01      3.90e-04    6.41e-04      9.36e-02    1.19e-01    8.9e-06
 465000      3.05e-01    3.60e-01      6.16e-04    6.63e-04      9.92e-02    1.17e-01    8.5e-06
 466000      3.04e-01    4.02e-01      6.32e-04    4.64e-04      9.88e-02    1.31e-01    8.5e-06
 467000      4.31e-01    3.18e-01      8.65e-04    4.11e-04      1.40e-01    1.03e-01    8.5e-06
 468000      3.94e-01    3.30e-01      6.14e-04    6.00e-04      1.28e-01    1.07e-01    8.5e-06
 469000      3.80e-01    3.60e-01      4.83e-04    4.45e-04      1.24e-01    1.17e-01    8.5e-06
 470000      4.15e-01    3.57e-01      9.61e-04    6.11e-04      1.38e-01    1.19e-01    8.1e-06
 471000      3.12e-01    3.97e-01      8.56e-04    4.99e-04      1.04e-01    1.32e-01    8.1e-06
 472000      4.32e-01    2.86e-01      4.07e-04    5.41e-04      1.44e-01    9.50e-02    8.1e-06
 473000      3.08e-01    3.70e-01      8.30e-04    7.16e-04      1.02e-01    1.23e-01    8.1e-06
 474000      3.14e-01    3.30e-01      5.01e-04    4.89e-04      1.04e-01    1.10e-01    8.1e-06
 475000      3.87e-01    3.72e-01      3.82e-04    4.00e-04      1.32e-01    1.26e-01    7.7e-06
 476000      3.23e-01    2.66e-01      8.95e-04    5.59e-04      1.10e-01    9.06e-02    7.7e-06
 477000      3.93e-01    2.65e-01      6.19e-04    7.20e-04      1.34e-01    9.01e-02    7.7e-06
 478000      3.37e-01    2.88e-01      1.03e-03    6.43e-04      1.15e-01    9.78e-02    7.7e-06
 479000      3.36e-01    4.37e-01      6.39e-04    6.05e-04      1.14e-01    1.49e-01    7.7e-06
 480000      3.80e-01    3.49e-01      7.48e-04    7.06e-04      1.32e-01    1.21e-01    7.3e-06
 481000      3.53e-01    3.32e-01      5.70e-04    4.93e-04      1.23e-01    1.16e-01    7.3e-06
#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 480000      1.50e-01    9.61e-02      8.21e-04    6.36e-04      1.46e-01    9.37e-02    5.3e-08
 481000      1.08e-01    1.19e-01      8.86e-04    8.16e-04      1.06e-01    1.16e-01    5.3e-08
 482000      1.25e-01    1.06e-01      3.75e-04    6.82e-04      1.22e-01    1.03e-01    5.3e-08
 483000      1.17e-01    1.36e-01      8.16e-04    5.90e-04      1.14e-01    1.33e-01    5.3e-08
 484000      1.22e-01    1.27e-01      4.93e-04    5.70e-04      1.19e-01    1.24e-01    5.3e-08
 485000      9.88e-02    1.25e-01      6.27e-04    4.43e-04      9.65e-02    1.22e-01    4.8e-08
 486000      1.37e-01    1.07e-01      6.06e-04    4.73e-04      1.34e-01    1.04e-01    4.8e-08
 487000      9.83e-02    1.15e-01      6.40e-04    5.64e-04      9.60e-02    1.13e-01    4.8e-08
 488000      1.32e-01    1.00e-01      1.06e-03    6.81e-04      1.29e-01    9.77e-02    4.8e-08
 489000      1.35e-01    9.07e-02      4.69e-04    3.89e-04      1.32e-01    8.86e-02    4.8e-08
 490000      8.92e-02    1.28e-01      7.67e-04    6.86e-04      8.73e-02    1.26e-01    4.3e-08
 491000      1.23e-01    7.60e-02      4.30e-04    3.43e-04      1.20e-01    7.44e-02    4.3e-08
 492000      1.21e-01    1.46e-01      9.15e-04    5.03e-04      1.18e-01    1.42e-01    4.3e-08
 493000      1.42e-01    1.05e-01      4.67e-04    8.39e-04      1.39e-01    1.03e-01    4.3e-08
 494000      1.36e-01    1.17e-01      8.47e-04    8.08e-04      1.33e-01    1.14e-01    4.3e-08
 495000      1.13e-01    1.33e-01      8.32e-04    4.48e-04      1.11e-01    1.31e-01    3.9e-08
 496000      1.09e-01    1.34e-01      7.11e-04    6.03e-04      1.07e-01    1.31e-01    3.9e-08
 497000      1.11e-01    1.24e-01      7.64e-04    5.45e-04      1.09e-01    1.22e-01    3.9e-08
 498000      1.24e-01    1.03e-01      7.40e-04    6.16e-04      1.21e-01    1.01e-01    3.9e-08
 499000      1.34e-01    9.23e-02      4.81e-04    8.11e-04      1.32e-01    9.05e-02    3.9e-08
 500000      1.04e-01    1.03e-01      7.54e-04    7.71e-04      1.02e-01    1.01e-01    3.5e-08
