#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  58000      3.02e+00    3.53e+00      7.62e-03    7.99e-03      1.27e-01    1.48e-01    5.7e-04
  59000      2.79e+00    3.11e+00      1.68e-02    1.67e-02      1.17e-01    1.30e-01    5.7e-04
  60000      3.19e+00    2.60e+00      1.31e-02    1.27e-02      1.37e-01    1.12e-01    5.4e-04
  61000      2.63e+00    2.90e+00      6.51e-03    6.26e-03      1.13e-01    1.25e-01    5.4e-04
  62000      2.72e+00    2.50e+00      1.41e-02    1.39e-02      1.17e-01    1.08e-01    5.4e-04
  63000      2.66e+00    3.48e+00      2.24e-02    2.22e-02      1.14e-01    1.50e-01    5.4e-04
  64000      2.88e+00    2.59e+00      7.78e-03    8.61e-03      1.24e-01    1.12e-01    5.4e-04
  65000      3.14e+00    2.57e+00      1.92e-02    1.92e-02      1.39e-01    1.13e-01    5.1e-04
  66000      3.14e+00    3.51e+00      1.87e-02    1.84e-02      1.39e-01    1.55e-01    5.1e-04
  67000      2.63e+00    2.92e+00      1.07e-02    1.11e-02      1.16e-01    1.29e-01    5.1e-04
  68000      2.64e+00    1.76e+00      2.76e-03    3.16e-03      1.17e-01    7.75e-02    5.1e-04
  69000      2.14e+00    2.55e+00      1.66e-02    1.70e-02      9.45e-02    1.13e-01    5.1e-04
  70000      2.96e+00    3.34e+00      1.66e-03    1.58e-03      1.34e-01    1.51e-01    4.9e-04
  71000      2.74e+00    2.94e+00      9.40e-04    8.69e-04      1.24e-01    1.33e-01    4.9e-04
  72000      2.55e+00    2.91e+00      6.08e-03    6.13e-03      1.15e-01    1.32e-01    4.9e-04
  73000      2.84e+00    1.68e+00      1.24e-02    1.18e-02      1.29e-01    7.62e-02    4.9e-04
  74000      2.61e+00    2.97e+00      2.64e-03    2.56e-03      1.18e-01    1.34e-01    4.9e-04
  75000      3.13e+00    2.73e+00      1.61e-02    1.59e-02      1.45e-01    1.27e-01    4.6e-04
  76000      2.15e+00    2.95e+00      1.00e-02    9.77e-03      1.00e-01    1.37e-01    4.6e-04
  77000      2.46e+00    2.63e+00      6.96e-03    6.77e-03      1.14e-01    1.22e-01    4.6e-04
  78000      2.29e+00    2.85e+00      1.88e-02    1.92e-02      1.06e-01    1.32e-01    4.6e-04
  79000      2.66e+00    2.62e+00      1.02e-02    9.89e-03      1.24e-01    1.22e-01    4.6e-04
  80000      3.08e+00    2.20e+00      3.65e-02    3.68e-02      1.47e-01    1.05e-01    4.4e-04
  81000      1.79e+00    2.13e+00      2.81e-03    2.53e-03      8.53e-02    1.01e-01    4.4e-04
  82000      2.69e+00    2.17e+00      1.32e-02    1.30e-02      1.28e-01    1.03e-01    4.4e-04
  83000      2.59e+00    3.03e+00      2.39e-02    2.36e-02      1.23e-01    1.44e-01    4.4e-04
